Data extracted on 02/03/2026 13:28:28 from [ESTAT],,,,,,,,,,,,,,,,,,,,
Dataset: ,"Government deficit/surplus, debt and associated data [gov_10dd_edpt1$defaultview]",,,,,,,,,,,,,,,,,,,
Last updated: ,21/10/2025 11:00,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Time frequency,,Annual,,,,,,,,,,,,,,,,,,
Unit of measure,,Percentage of gross domestic product (GDP),,,,,,,,,,,,,,,,,,
Sector,,General government,,,,,,,,,,,,,,,,,,
National accounts indicator (ESA 2010),,Net lending (+)/net borrowing (-),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
TIME,2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,,2024,
GEO (Labels),,,,,,,,,,,,,,,,,,,,
European Union - 27 countries (from 2020),-1.9,,-1.4,,-0.9,,-0.4,,-0.5,,-6.7,,-4.6,,-3.2,,-3.4,,-3.1,
Euro area – 20 countries (2023-2025),-2.0,,-1.5,,-1.0,,-0.4,,-0.5,,-7.0,,-5.1,,-3.4,,-3.5,,-3.1,
Euro area - 19 countries  (2015-2022),-2.0,,-1.5,,-1.0,,-0.4,,-0.5,,-7.0,,-5.1,,-3.4,,-3.5,,-3.1,
Belgium,-2.5,,-2.4,,-0.8,,-1.0,,-2.0,,-9.0,,-5.4,,-3.6,,-4.0,,-4.4,
Bulgaria,-1.9,,0.3,,1.6,,1.7,,2.2,,-3.8,,-4.0,,-2.9,,-2.0,,-3.0,
Czechia,-0.7,,0.7,,1.5,,0.9,,0.3,,-5.6,,-5.0,,-3.1,,-3.7,,-2.0,
Denmark,-0.9,,0.3,,1.7,,0.8,,4.3,,0.4,,4.1,,3.4,,3.4,,4.5,
Germany,0.9,,1.1,,1.3,,1.9,,1.3,,-4.4,,-3.2,,-1.9,,-2.5,,-2.7,
Estonia,0.2,,-0.1,,-0.5,,-0.6,,-0.1,,-5.4,,-2.5,,-1.0,,-2.7,,-1.7,
Ireland,-2.0,,-0.8,,-0.3,,0.1,,0.4,,-4.9,,-1.3,,1.6,,1.4,,4.0,
Greece,-5.9,,0.2,,0.7,,0.9,,0.8,,-9.6,,-7.2,,-2.6,,-1.4,,1.2,
Spain,-5.3,,-4.2,,-3.1,,-2.6,,-3.1,,-9.9,,-6.7,,-4.6,,-3.3,,-3.2,
France,-3.9,,-3.8,,-3.4,,-2.3,,-2.4,,-8.9,,-6.6,,-4.7,,-5.4,,-5.8,
Croatia,-3.5,,-1.0,,0.6,,-0.1,,0.2,,-7.2,,-2.6,,0.1,,-0.8,,-1.9,
Italy,-2.5,,-2.4,,-2.5,,-2.2,,-1.5,,-9.4,,-8.9,,-8.1,,-7.2,,-3.4,
Cyprus,-0.8,,0.5,,2.1,,-3.4,,1.0,,-5.6,,-1.6,,2.7,,1.7,,4.1,
Latvia,-1.5,,0.0,,-0.3,,-1.4,,-0.2,,-4.1,,-7.2,,-4.9,,-2.4,,-1.8,
Lithuania,-0.8,,0.0,,0.4,,0.5,,0.4,,-6.4,,-1.1,,-0.7,,-0.7,,-1.3,
Luxembourg,1.3,,1.9,,1.4,,3.2,,2.7,,-3.1,,1.1,,0.2,,-0.7,,0.9,
Hungary,-2.0,,-1.8,,-2.5,,-2.0,,-2.0,,-7.5,,-7.1,,-6.2,,-6.8,,-5.0,
Malta,-0.8,,1.1,,3.4,,1.9,,0.7,,-8.7,,-7.0,,-5.3,,-4.4,,-3.5,
Netherlands,-1.8,,0.2,,1.4,,1.5,,1.9,,-3.7,,-2.3,,0.0,,-0.4,,-0.9,
Austria,-0.5,,-1.5,,-0.8,,0.2,,0.5,,-8.2,,-5.7,,-3.4,,-2.6,,-4.7,
Poland,-2.6,,-2.4,,-1.5,,-0.2,,-0.7,,-6.9,,-1.7,,-3.4,,-5.2,,-6.5,
Portugal,-4.5,,-1.9,,-3.0,,-0.4,,0.1,,-5.8,,-2.8,,-0.3,,1.3,,0.5,
Romania,-0.5,,-2.5,,-2.5,,-2.8,,-4.4,,-9.3,,-7.2,,-6.5,,-6.7,,-9.3,
Slovenia,-2.8,,-2.0,,0.1,,0.9,,0.7,,-7.7,,-4.6,,-3.0,,-2.6,,-0.9,
Slovakia,-2.8,,-2.6,,-1.0,,-1.0,,-1.2,,-5.3,,-5.1,,-1.6,,-5.3,,-5.5,
Finland,-2.4,,-1.7,,-0.6,,-0.9,,-0.9,,-5.5,,-2.7,,-0.2,,-2.9,,-4.4,
Sweden,-0.3,,0.8,,1.3,,0.7,,0.4,,-3.2,,-0.2,,1.0,,-0.9,,-1.6,
,,,,,,,,,,,,,,,,,,,,
Special value,,,,,,,,,,,,,,,,,,,,
:,not available,,,,,,,,,,,,,,,,,,,
